run_id,task_id,arm,accepted,checks_passed,checks_total,sessions,setup_seconds,execution_seconds,grading_seconds,total_seconds,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens,total_tokens
01-T03-A,T03,A,True,20,20,2,0.739198540977668,44.774424291041214,6.849999772384763e-05,45.513691332016606,91627,63232,1180,275,92807
02-T02-B,T02,B,True,31,31,1,0.8453304590075277,23.171087166003417,0.08461741701466963,24.101035042025615,20759,9984,506,29,21265
03-T03-B,T03,B,True,20,20,1,0.8236778330174275,19.60118854197208,7.699994603171945e-05,20.424943374935538,31451,20096,345,0,31796
04-T03-C,T03,C,True,20,20,1,0.871648208994884,20.222190250002313,7.1291986387223e-05,21.093909750983585,40794,26368,364,0,41158
05-T01-A,T01,A,True,8,8,1,0.9051950420252979,10.568458124995232,3.7416990380734205e-05,11.47369058401091,25254,12288,153,34,25407
06-T02-C,T02,C,True,31,31,1,0.797740708978381,84.48155495902756,0.07275233400287107,85.35204800200881,57650,41088,2505,89,60155
07-T01-C,T01,C,True,8,8,1,0.8771500409930013,10.453800500021316,5.9583981055766344e-05,11.331010124995373,26872,13056,112,0,26984
08-T04-C,T04,C,True,12,12,1,0.7691369579988532,11.508422250044532,6.508297519758344e-05,12.277624291018583,27088,13184,162,0,27250
09-T02-A,T02,A,True,31,31,2,0.7916765409754589,154.88834254204994,0.08061258302768692,155.7606316660531,123979,79360,4714,565,128693
10-T01-B,T01,B,True,8,8,1,0.864181540964637,10.903855084034149,4.6667002607136965e-05,11.768083292001393,20659,9984,114,0,20773
11-T04-A,T04,A,True,12,12,1,0.9605843339813873,13.445928084023762,6.679102079942822e-05,14.40657920902595,25394,12288,281,116,25675
12-T04-B,T04,B,True,12,12,1,1.6438385000219569,11.653246750007384,5.291705019772053e-05,13.297138167079538,20870,9984,155,0,21025
